Username,Alliance,Governor Id,Power,Kill Points,Kills,T1,T2,T3,T4,T5,Deaths,Resource Assistance,Helps
因 Disturbed 2,,4405219,128.642.126,1.652.081.236,106.101.210,987.352,540.999,409.427,43.410.458,60.752.974,22.720.558,6.086.696.498,50.304
Wolf Siren,,57167785,118.362.241,2.876.354.417,230.009.562,9.706.425,5.158.166,5.514.135,135.057.646,74.573.190,12.466.271,8.215.537.974,79.006
Sirens Big D,,77696065,111.426.325,1.469.997.170,118.731.211,3.938.512,2.785.305,4.288.872,70.788.707,36.929.815,12.237.545,12.487.073.078,113.692
EvilClasssy,,24145659,110.720.637,3.270.297.614,256.626.003,4.842.241,2.450.489,7.321.272,160.509.692,81.502.309,36.742.291,13.353.367.999,50.487
因 JPyo,,2877966,104.133.057,3.463.446.353,237.831.247,2.985.985,977.845,1.272.194,119.609.977,112.985.246,29.057.098,4.270.769.165,146.031
Ouarda,,17322983,102.420.479,3.127.046.146,260.231.761,20.394.291,3.807.892,8.353.306,147.158.716,80.517.556,27.893.112,16.278.041.854,162.949
Thumbi,,10790326,100.688.246,3.381.925.256,225.600.500,3.815.539,367.809,834.690,103.456.147,117.126.315,16.231.205,9.290.948.251,86.220
ᴹʷBoxer Leo,,31917719,99.831.817,541.782.358,96.038.603,46.228.451,4.824.665,6.931.907,26.591.189,11.462.391,7.701.311,2.183.301.187,14.214
亗 Silver 亗,,13395892,99.101.634,4.777.583.983,497.233.942,152.440.326,4.720.699,7.193.740,194.870.398,138.008.779,19.464.108,6.320.032.280,136.545
Digital Nomad,,18799875,98.753.334,4.060.932.032,311.524.940,19.197.129,666.042,1.659.688,175.091.985,114.910.096,9.287.107,1.675.187.926,97.082
Freya Night,,100333060,97.975.506,592.626.309,61.587.098,3.028.035,5.592.326,7.318.465,36.140.325,9.507.947,2.695.269,1.102.011.842,36.625
LittleRscls,,13335434,97.124.704,3.606.446.143,257.818.860,5.324.335,1.981.704,4.298.367,134.006.468,112.207.986,24.130.189,8.282.772.027,131.576
Saf X,,15379938,96.719.780,2.630.981.910,204.217.995,5.227.101,2.087.772,5.860.554,121.853.263,69.189.305,18.623.777,33.409.179.966,108.369
亞S亞,,7846539,95.406.782,1.044.103.702,80.241.228,758.058,255.758,637.956,53.090.037,25.499.419,6.551.097,2.795.433.376,74.441
ᴹʷSirensT3TS,,44291366,91.802.072,3.241.374.434,249.422.909,6.904.312,1.611.564,3.529.291,152.490.156,84.887.586,13.170.641,7.841.643.365,127.271
亗 Eagle 亗,,2401411,91.073.151,3.606.881.418,280.471.498,4.011.438,2.193.714,5.138.853,180.141.357,88.986.136,15.303.976,5.736.440.293,68.959
ᴹʷConteSiren,,8050241,89.695.107,3.335.819.034,255.655.764,7.942.788,1.217.526,2.593.616,155.661.572,88.240.262,9.212.185,1.032.134.316,102.877
LuV U All,,46192411,89.074.774,1.342.727.422,119.693.768,9.205.010,3.235.430,4.655.955,73.615.572,28.981.801,7.769.402,1.377.789.832,66.203
ˢʷ Amthala,,28009502,88.611.154,3.962.616.001,311.314.831,20.704.365,6.246.313,10.645.143,157.097.827,116.621.183,17.094.317,2.575.271.054,63.009
因 CCHARD,,2877192,86.747.700,3.036.326.753,214.348.836,4.458.145,2.513.633,2.753.842,107.307.183,97.316.033,19.099.986,3.720.278.864,112.644
因 Disturbed,,4420581,86.387.847,2.869.579.581,214.432.339,7.676.973,3.355.480,6.178.244,110.781.259,86.440.383,22.578.519,12.646.517.867,68.716
